matched_shisetsu_bangou	before	after	interval	after_minus_before
BR0-042021-00635	II	II	1	0
BR0-042021-00635	II	II	5	0
BR0-042021-00645	II	II	5	0
BR0-042021-00647	II	II	5	0
BR0-042021-00649	II	II	5	0
BR0-042021-00649	II	II	1	0
BR0-042021-00653	I	II	5	1
BR0-042021-00658	II	II	5	0
BR0-042021-00659	II	II	5	0
BR0-042021-00660	II	II	5	0
BR0-042021-00662	II	II	5	0
BR0-042021-00667	I	III	5	2
BR0-042021-00670	I	I	5	0
BR0-042021-00672	II	II	5	0
BR0-042021-00673	II	II	5	0
BR0-042021-00674	II	II	5	0
BR0-042021-00675	II	II	5	0
BR0-042021-00676	II	II	5	0
BR0-042021-00678	I	II	5	1
BR0-042021-00681	I	II	5	1
BR0-042021-00682	II	II	5	0
BR0-042021-00684	I	II	5	1
BR0-042021-00685	II	II	5	0
BR0-042021-00686	I	I	5	0
BR0-042021-00689	I	I	12	0
BR0-042021-00689	I	I	5	0
BR0-042021-00690	II	II	5	0
BR0-042021-00691	I	II	5	1
BR0-042021-00692	I	II	5	1
BR0-042021-00693	I	II	5	1
BR0-042021-00696	II	II	5	0
BR0-042021-00698	I	II	3	1
BR0-042021-00700	II	II	5	0
BR0-042021-00701	II	II	5	0
BR0-042021-00704	II	II	5	0
BR0-042021-00708	II	II	5	0
BR0-042021-00710	II	II	5	0
BR0-042021-00711	II	II	5	0
BR0-042021-00717	II	II	5	0
BR0-042021-00719	II	II	5	0
BR0-042021-00720	II	II	5	0
BR0-042021-00729	II	II	6	0
BR0-042021-00730	I	I	1	0
BR0-042021-00731	II	II	6	0
BR0-042021-00732	II	II	6	0
BR0-042021-00736	II	II	6	0
BR0-042021-00759	II	II	1	0
BR0-042021-00759	II	II	1	0
BR0-042021-00759	II	II	3	0
BR0-042021-00761	II	II	6	0
BR0-042021-00768	II	II	6	0
BR0-042021-00771	II	II	5	0
BR0-042021-00776	II	II	6	0
BR0-042021-00780	II	II	6	0
BR0-042021-00784	I	I	5	0
BR0-042021-00785	II	II	5	0
BR0-042021-00787	II	II	5	0
BR0-042021-00790	II	II	5	0
BR0-042021-00795	II	III	5	1
BR0-042021-00796	II	III	5	1
BR0-042021-00797	I	II	5	1
BR0-042021-00805	I	I	5	0
BR0-042021-00806	I	I	5	0
BR0-042021-00811	II	II	5	0
BR0-042021-00812	II	II	5	0
BR0-042021-00813	II	II	4	0
BR0-042021-00818	II	III	5	1
BR0-042021-00821	I	I	5	0
BR0-042021-00822	II	II	5	0
BR0-042021-00823	II	II	5	0
BR0-042021-00828	II	II	5	0
BR0-042021-00835	I	II	5	1
BR0-042021-00839	II	II	1	0
BR0-042021-00839	I	II	3	1
BR0-042021-00839	II	II	2	0
BR0-042021-00839	II	II	1	0
BR0-042021-00844	II	III	5	1
BR0-042021-00867	II	II	4	0
BR0-042021-00867	II	II	1	0
BR0-042021-00868	II	II	4	0
BR0-042021-00869	II	II	5	0
BR0-042021-00873	I	II	22	1
BR0-042021-00873	II	II	4	0
BR0-042021-00878	I	II	29	1
BR0-042021-00878	II	II	5	0
BR0-042021-00879	I	II	29	1
BR0-042021-00879	II	II	5	0
BR0-042021-00880	I	II	29	1
BR0-042021-00880	II	II	4	0
BR0-042021-00881	I	II	29	1
BR0-042021-00881	II	II	5	0
BR0-042021-00883	I	II	29	1
BR0-042021-00883	II	II	5	0
BR0-042021-00884	I	II	22	1
BR0-042021-00884	II	II	4	0
BR0-042021-00885	I	II	23	1
BR0-042021-00885	II	II	5	0
BR0-042021-00886	I	II	29	1
BR0-042021-00886	II	II	4	0
BR0-042021-00887	I	II	28	1
BR0-042021-00887	II	II	4	0
BR0-042021-00888	I	II	29	1
BR0-042021-00888	II	II	4	0
BR0-042021-00889	I	II	29	1
BR0-042021-00889	II	II	4	0
BR0-042021-00906	II	III	5	1
BR0-042021-00907	I	I	27	0
BR0-042021-00907	I	II	5	1
BR0-042021-00908	I	II	27	1
BR0-042021-00908	II	II	5	0
BR0-042021-00910	I	II	24	1
BR0-042021-00910	II	II	5	0
BR0-042021-00911	I	II	24	1
BR0-042021-00911	II	II	5	0
BR0-042021-00912	I	II	24	1
BR0-042021-00912	II	II	5	0
BR0-042021-00916	I	II	24	1
BR0-042021-00916	II	II	5	0
BR0-042021-00917	I	II	24	1
BR0-042021-00917	II	II	5	0
BR0-042021-00918	I	II	24	1
BR0-042021-00918	II	II	5	0
BR0-042021-00919	I	I	24	0
BR0-042021-00919	I	II	5	1
BR0-042021-00920	I	II	24	1
BR0-042021-00920	II	II	5	0
BR0-042021-00921	II	II	5	0
BR0-042021-00923	I	II	25	1
BR0-042021-00923	II	II	5	0
BR0-042021-00926	I	II	29	1
BR0-042021-00926	II	II	5	0
BR0-042021-00927	II	II	5	0
BR0-042021-00931	II	II	5	0
BR0-042021-00933	I	II	12	1
BR0-042021-00933	I	II	5	1
BR0-042021-00936	I	II	5	1
BR0-042021-00937	I	II	12	1
BR0-042021-00937	II	II	5	0
BR0-042021-00938	II	II	5	0
BR0-042021-00939	I	II	5	1
BR0-042021-00960	II	II	4	0
BR0-042021-00961	II	II	4	0
BR0-042021-00962	II	II	4	0
BR0-042021-00964	II	II	5	0
BR0-042021-00965	I	I	5	0
BR0-042021-00967	II	II	5	0
BR0-042021-00968	II	II	5	0
BR0-042021-00970	II	II	5	0
BR0-042021-00974	II	II	5	0
BR0-042021-00976	II	II	5	0
BR0-042021-00982	I	I	5	0
BR0-042021-00983	I	II	5	1
BR0-042021-00997	II	II	5	0
BR0-042021-01000	II	II	5	0
BR0-042021-01003	II	II	5	0
BR0-042021-01004	II	II	5	0
BR0-042021-01005	II	II	5	0
BR0-042021-01006	I	II	5	1
BR0-042021-01007	II	II	5	0
BR0-042021-01009	II	II	5	0
BR0-042021-01010	I	II	5	1
BR0-042021-01023	II	III	5	1
BR0-042021-01025	II	II	5	0
BR0-042021-01026	II	II	5	0
BR0-042021-01033	I	II	3	1
BR0-042021-01033	II	II	2	0
BR0-042021-01033	II	II	3	0
BR0-042021-01037	II	II	5	0
BR0-042021-01087	II	II	5	0
BR0-042021-01091	II	II	1	0
BR0-042021-01091	I	II	1	1
BR0-042021-01091	II	II	3	0
BR0-042021-01091	II	II	1	0
BR0-042021-01091	II	II	1	0
BR0-042021-01096	II	II	1	0
BR0-042021-01096	I	II	1	1
BR0-042021-01096	II	II	3	0
BR0-042021-01096	II	II	1	0
BR0-042021-01096	II	II	1	0
BR0-042021-01097	II	II	5	0
BR0-042021-01099	II	II	1	0
BR0-042021-01099	I	II	1	1
BR0-042021-01099	II	II	3	0
BR0-042021-01099	II	II	1	0
BR0-042021-01099	II	II	1	0
BR0-042021-01102	II	II	1	0
BR0-042021-01102	II	III	6	1
BR0-042021-01105	I	I	5	0
BR0-042021-01106	II	II	5	0
BR0-042021-01107	II	II	5	0
BR0-042021-01111	I	I	5	0
BR0-042021-01136	I	II	5	1
BR0-042021-01137	II	II	4	0
BR0-042030-00002	II	III	3	1
BR0-042030-00015	II	II	5	0
BR0-042030-00016	I	I	5	0
BR0-042030-00017	II	II	5	0
BR0-042030-00018	I	II	5	1
BR0-042030-00020	I	II	11	1
BR0-042030-00020	II	II	5	0
BR0-042056-00016	II	II	5	0
BR0-042056-00018	II	II	5	0
BR0-042056-00026	II	II	5	0
BR0-042056-00026	II	II	5	0
BR0-042056-00033	II	II	5	0
BR0-042056-00049	II	II	5	0
BR0-042056-00058	II	II	5	0
BR0-042056-00059	III	III	1	0
BR0-042056-00059	I	I	5	0
BR0-042056-00062	II	II	5	0
BR0-042056-00063	II	II	5	0
BR0-042056-00064	II	II	5	0
BR0-042056-00065	II	II	5	0
BR0-042056-00066	II	II	5	0
BR0-042056-00069	I	I	5	0
BR0-042056-00069	I	I	5	0
BR0-042056-00074	II	II	5	0
BR0-042056-00077	II	II	5	0
BR0-042056-00078	II	II	1	0
BR0-042056-00078	II	III	4	1
BR0-042056-00079	I	I	5	0
BR0-042056-00079	I	I	5	0
BR0-042056-00080	I	II	5	1
BR0-042056-00081	II	II	5	0
BR0-042056-00085	I	II	5	1
BR0-042056-00086	I	I	4	0
BR0-042056-00089	I	I	28	0
BR0-042056-00089	I	II	5	1
BR0-042056-00090	I	I	5	0
BR0-042056-00096	II	II	5	0
BR0-042056-00098	II	III	5	1
BR0-042056-00099	II	III	5	1
BR0-042056-00103	II	III	5	1
BR0-042056-00108	I	I	5	0
BR0-042056-00108	I	I	5	0
BR0-042056-00109	II	II	5	0
BR0-042056-00117	II	II	5	0
BR0-042056-00120	II	II	5	0
BR0-042056-00122	I	II	5	1
BR0-042056-00123	I	I	5	0
BR0-042056-00123	I	I	5	0
BR0-042056-00127	II	II	5	0
BR0-042056-00134	II	II	5	0
BR0-042056-00142	I	II	5	1
BR0-042056-00143	II	II	5	0
BR0-042056-00145	II	II	5	0
BR0-042056-00150	II	II	5	0
BR0-042056-00155	II	II	5	0
BR0-042056-00158	II	II	5	0
BR0-042056-00159	II	II	5	0
BR0-042056-00160	II	II	5	0
BR0-042056-00163	II	II	5	0
BR0-042056-00164	II	II	5	0
BR0-042056-00165	I	II	5	1
BR0-042056-00168	I	II	5	1
BR0-042056-00173	II	II	5	0
BR0-042056-00174	II	II	3	0
BR0-042056-00174	II	II	2	0
BR0-042056-00174	II	II	3	0
BR0-042056-00189	II	II	5	0
BR0-042056-00191	II	II	5	0
BR0-042056-00198	II	II	1	0
BR0-042056-00198	II	II	4	0
BR0-042056-00198	II	II	1	0
BR0-042056-00200	II	II	5	0
BR0-042056-00201	II	II	3	0
BR0-042056-00201	II	II	2	0
BR0-042056-00201	II	II	3	0
BR0-042056-00202	I	I	25	0
BR0-042056-00202	I	I	5	0
BR0-042056-00202	I	I	5	0
BR0-042056-00203	II	II	5	0
BR0-042056-00206	II	II	5	0
BR0-042056-00207	I	I	16	0
BR0-042056-00207	I	II	1	1
BR0-042056-00207	II	II	4	0
BR0-042056-00208	II	II	5	0
BR0-042056-00209	I	I	5	0
BR0-042056-00211	II	II	5	0
BR0-042056-00212	II	II	5	0
BR0-042056-00213	II	II	5	0
BR0-042056-00220	II	II	5	0
BR0-042056-00221	II	II	5	0
BR0-042056-00222	II	II	5	0
BR0-042056-00222	II	II	4	0
BR0-042056-00223	II	II	5	0
BR0-042056-00228	II	II	5	0
BR0-042056-00229	II	II	5	0
BR0-042056-00232	II	II	5	0
BR0-042056-00235	II	II	5	0
BR0-042056-00238	II	II	5	0
BR0-042056-00239	II	II	5	0
BR0-042056-00240	II	II	5	0
BR0-042056-00242	II	II	5	0
BR0-042056-00244	II	II	1	0
BR0-042056-00244	II	II	4	0
BR0-042056-00247	II	II	5	0
BR0-042056-00252	II	II	5	0
BR0-042056-00273	II	II	5	0
BR0-042056-00274	I	II	1	1
BR0-042056-00274	II	II	3	0
BR0-042056-00274	II	II	1	0
BR0-042056-00274	II	II	1	0
BR0-042056-00274	II	II	3	0
BR0-042056-00275	II	II	5	0
BR0-042056-00276	II	II	5	0
BR0-042056-00277	II	II	5	0
BR0-042056-00278	II	II	5	0
BR0-042056-00280	II	II	5	0
BR0-042056-00281	I	I	4	0
BR0-042056-00282	II	II	5	0
BR0-042056-00283	II	II	5	0
BR0-042056-00285	I	II	24	1
BR0-042056-00285	II	II	5	0
BR0-042056-00287	II	II	5	0
BR0-042056-00291	II	II	5	0
BR0-042056-00292	II	II	1	0
BR0-042056-00292	II	II	4	0
BR0-042056-00292	II	II	1	0
BR0-042056-00292	II	III	4	1
BR0-042056-00293	I	I	5	0
BR0-042056-00293	I	I	4	0
BR0-042056-00294	I	I	5	0
BR0-042056-00294	I	I	4	0
BR0-042056-00295	II	II	5	0
BR0-042056-00298	II	II	5	0
BR0-042056-00300	II	II	5	0
BR0-042056-00302	II	II	5	0
BR0-042056-00312	II	II	5	0
BR0-042056-00315	I	II	26	1
BR0-042056-00315	II	II	5	0
BR0-042056-00316	II	II	5	0
BR0-042056-00321	II	II	5	0
BR0-042056-00322	II	II	5	0
BR0-042056-00323	II	II	5	0
BR0-042056-00326	II	II	5	0
BR0-042056-00327	II	II	5	0
BR0-042056-00328	II	II	5	0
BR0-042056-00329	I	II	24	1
BR0-042056-00329	II	II	5	0
BR0-042056-00330	I	I	5	0
BR0-042056-00334	II	III	5	1
BR0-042056-00339	II	II	5	0
BR0-042056-00340	II	II	5	0
BR0-042056-00341	II	II	5	0
BR0-042056-00342	II	II	5	0
BR0-042056-00343	II	II	5	0
BR0-042056-00344	I	I	5	0
BR0-042056-00344	I	I	4	0
BR0-042056-00345	I	I	5	0
BR0-042056-00345	I	I	4	0
BR0-042056-00346	II	II	5	0
BR0-042056-00351	II	II	5	0
BR0-042056-00353	I	I	5	0
BR0-042056-00357	II	II	5	0
BR0-042056-00359	II	II	5	0
BR0-042056-00360	II	II	5	0
BR0-042056-00363	II	II	5	0
BR0-042056-00364	II	II	5	0
BR0-042056-00368	II	III	5	1
BR0-042056-00372	II	II	5	0
BR0-042056-00373	I	II	25	1
BR0-042056-00373	II	II	5	0
BR0-042056-00377	II	III	5	1
BR0-042056-00378	II	III	5	1
BR0-042056-00381	II	II	5	0
BR0-042056-00392	II	II	5	0
BR0-042056-00393	IV	IV	5	0
BR0-042056-00440	II	II	1	0
BR0-042056-00440	II	III	1	1
BR0-042056-00440	II	III	1	1
BR0-042064-00019	II	II	5	0
BR0-042064-00027	II	II	2	0
BR0-042064-00027	II	II	3	0
BR0-042064-00027	II	II	2	0
BR0-042064-00028	I	II	22	1
BR0-042064-00028	II	II	5	0
BR0-042064-00061	I	II	22	1
BR0-042064-00061	II	II	5	0
BR0-042064-00067	II	II	1	0
BR0-042064-00067	II	II	1	0
BR0-042064-00067	II	II	2	0
BR0-042064-00067	I	II	1	1
BR0-042064-00067	II	II	1	0
BR0-042064-00067	II	II	1	0
BR0-042064-00068	II	II	1	0
BR0-042064-00068	II	II	2	0
BR0-042064-00068	II	II	1	0
BR0-042064-00068	II	II	1	0
BR0-042064-00068	II	II	1	0
BR0-042064-00068	II	II	1	0
BR0-042064-00069	II	II	1	0
BR0-042064-00069	II	II	1	0
BR0-042064-00069	II	II	2	0
BR0-042064-00069	II	II	1	0
BR0-042064-00069	II	II	1	0
BR0-042064-00069	II	III	1	1
BR0-042064-00069	II	II	2	0
BR0-042064-00070	II	II	2	0
BR0-042064-00070	I	II	2	1
BR0-042064-00070	II	II	1	0
BR0-042064-00070	II	II	2	0
BR0-042064-00070	I	I	2	0
BR0-042064-00074	II	II	1	0
BR0-042064-00074	II	II	2	0
BR0-042064-00074	II	II	1	0
BR0-042064-00074	II	II	1	0
BR0-042064-00074	II	II	1	0
BR0-042064-00074	II	II	1	0
BR0-042064-00075	II	II	1	0
BR0-042064-00075	II	II	1	0
BR0-042064-00075	II	II	2	0
BR0-042064-00075	I	II	1	1
BR0-042064-00075	II	II	1	0
BR0-042064-00075	II	II	1	0
BR0-042064-00076	II	II	1	0
BR0-042064-00076	II	II	1	0
BR0-042064-00076	II	II	2	0
BR0-042064-00076	II	II	1	0
BR0-042064-00076	II	II	1	0
BR0-042064-00076	II	III	1	1
BR0-042064-00076	II	II	2	0
BR0-042064-00077	II	II	2	0
BR0-042064-00077	I	II	2	1
BR0-042064-00077	II	II	1	0
BR0-042064-00077	II	II	2	0
BR0-042064-00077	I	I	2	0
BR0-042064-00078	II	II	2	0
BR0-042064-00078	II	II	2	0
BR0-042064-00078	II	II	1	0
BR0-042064-00078	II	II	2	0
BR0-042064-00079	I	II	4	1
BR0-042064-00079	I	I	5	0
BR0-042064-00081	II	II	2	0
BR0-042064-00081	II	II	2	0
BR0-042064-00081	II	II	1	0
BR0-042064-00081	II	II	2	0
BR0-042064-00082	I	II	4	1
BR0-042064-00082	I	I	5	0
BR0-042064-00085	II	II	1	0
BR0-042064-00085	II	II	1	0
BR0-042064-00085	II	II	2	0
BR0-042064-00085	I	II	1	1
BR0-042064-00085	II	II	1	0
BR0-042064-00085	II	II	1	0
BR0-042064-00087	II	II	1	0
BR0-042064-00087	II	II	1	0
BR0-042064-00087	II	II	2	0
BR0-042064-00087	I	II	1	1
BR0-042064-00087	II	II	1	0
BR0-042064-00087	II	II	1	0
BR0-042064-00088	II	II	1	0
BR0-042064-00088	II	II	2	0
BR0-042064-00088	II	II	1	0
BR0-042064-00088	II	II	1	0
BR0-042064-00088	II	II	1	0
BR0-042064-00088	II	II	1	0
BR0-042064-00089	II	II	1	0
BR0-042064-00089	II	II	1	0
BR0-042064-00089	II	II	2	0
BR0-042064-00089	II	II	1	0
BR0-042064-00089	II	II	1	0
BR0-042064-00089	II	III	1	1
BR0-042064-00089	II	II	2	0
BR0-042064-00090	II	II	2	0
BR0-042064-00090	I	II	2	1
BR0-042064-00090	II	II	1	0
BR0-042064-00090	II	II	2	0
BR0-042064-00090	I	I	2	0
BR0-042064-00091	II	II	2	0
BR0-042064-00091	II	II	2	0
BR0-042064-00091	II	II	1	0
BR0-042064-00091	II	II	2	0
BR0-042064-00092	I	II	22	1
BR0-042064-00092	II	II	1	0
BR0-042064-00092	II	II	1	0
BR0-042064-00092	II	II	2	0
BR0-042064-00092	I	II	1	1
BR0-042064-00092	II	II	1	0
BR0-042064-00092	II	II	1	0
BR0-042064-00094	II	II	1	0
BR0-042064-00094	II	II	2	0
BR0-042064-00094	II	II	1	0
BR0-042064-00094	II	II	1	0
BR0-042064-00094	II	II	1	0
BR0-042064-00094	II	II	1	0
BR0-042064-00095	II	II	1	0
BR0-042064-00095	II	II	1	0
BR0-042064-00095	II	II	2	0
BR0-042064-00095	II	II	1	0
BR0-042064-00095	II	II	1	0
BR0-042064-00095	II	III	1	1
BR0-042064-00095	II	II	2	0
BR0-042064-00096	II	II	1	0
BR0-042064-00096	II	II	1	0
BR0-042064-00096	II	II	2	0
BR0-042064-00096	I	II	1	1
BR0-042064-00096	II	II	1	0
BR0-042064-00096	II	II	1	0
BR0-042064-00097	II	II	1	0
BR0-042064-00097	II	II	1	0
BR0-042064-00097	II	II	2	0
BR0-042064-00097	I	II	1	1
BR0-042064-00097	II	II	1	0
BR0-042064-00097	II	II	1	0
BR0-042064-00098	II	II	1	0
BR0-042064-00098	II	II	2	0
BR0-042064-00098	II	II	1	0
BR0-042064-00098	II	II	1	0
BR0-042064-00098	II	II	1	0
BR0-042064-00098	II	II	1	0
BR0-042064-00102	I	II	19	1
BR0-042064-00102	II	II	4	0
BR0-042064-00107	II	II	1	0
BR0-042064-00107	II	II	1	0
BR0-042064-00107	II	II	2	0
BR0-042064-00107	I	II	1	1
BR0-042064-00107	II	II	1	0
BR0-042064-00107	II	II	1	0
BR0-042064-00108	II	II	1	0
BR0-042064-00108	II	II	2	0
BR0-042064-00108	II	II	1	0
BR0-042064-00108	II	II	1	0
BR0-042064-00108	II	II	1	0
BR0-042064-00108	II	II	1	0
BR0-042064-00109	II	II	1	0
BR0-042064-00109	II	II	2	0
BR0-042064-00109	II	II	1	0
BR0-042064-00109	II	II	1	0
BR0-042064-00109	II	II	1	0
BR0-042064-00109	II	II	1	0
BR0-042064-00110	II	II	1	0
BR0-042064-00110	II	II	1	0
BR0-042064-00110	II	II	2	0
BR0-042064-00110	I	II	1	1
BR0-042064-00110	II	II	1	0
BR0-042064-00110	II	II	1	0
BR0-042064-00111	II	II	1	0
BR0-042064-00111	II	II	1	0
BR0-042064-00111	II	II	2	0
BR0-042064-00111	I	II	1	1
BR0-042064-00111	II	II	1	0
BR0-042064-00111	II	II	1	0
BR0-042064-00112	II	II	1	0
BR0-042064-00112	II	II	1	0
BR0-042064-00112	II	II	2	0
BR0-042064-00112	I	II	1	1
BR0-042064-00112	II	II	1	0
BR0-042064-00112	II	II	1	0
BR0-042064-00113	II	II	1	0
BR0-042064-00113	II	II	1	0
BR0-042064-00113	II	II	2	0
BR0-042064-00113	I	II	1	1
BR0-042064-00113	II	II	1	0
BR0-042064-00113	II	II	1	0
BR0-042064-00114	I	II	20	1
BR0-042064-00114	II	II	1	0
BR0-042064-00114	II	II	1	0
BR0-042064-00114	II	II	2	0
BR0-042064-00114	II	II	1	0
BR0-042064-00114	II	II	1	0
BR0-042064-00114	II	III	1	1
BR0-042064-00114	II	II	2	0
BR0-042064-00117	I	II	4	1
BR0-042064-00117	I	I	5	0
BR0-042064-00118	II	II	1	0
BR0-042064-00118	II	II	1	0
BR0-042064-00118	II	II	2	0
BR0-042064-00118	I	II	1	1
BR0-042064-00118	II	II	1	0
BR0-042064-00118	II	II	1	0
BR0-042064-00120	II	II	1	0
BR0-042064-00120	II	II	2	0
BR0-042064-00120	II	II	1	0
BR0-042064-00120	II	II	1	0
BR0-042064-00120	II	II	1	0
BR0-042064-00120	II	II	1	0
BR0-042064-00124	II	II	1	0
BR0-042064-00124	II	II	1	0
BR0-042064-00124	II	II	2	0
BR0-042064-00124	I	II	1	1
BR0-042064-00124	II	II	1	0
BR0-042064-00124	II	II	1	0
BR0-042064-00254	II	II	1	0
BR0-042064-00254	II	II	1	0
BR0-042064-00254	II	II	2	0
BR0-042064-00254	I	II	1	1
BR0-042064-00254	II	II	1	0
BR0-042064-00254	II	II	1	0
BR0-042064-00255	II	II	1	0
BR0-042064-00255	II	II	1	0
BR0-042064-00255	II	II	2	0
BR0-042064-00255	I	II	1	1
BR0-042064-00255	II	II	1	0
BR0-042064-00255	II	II	1	0
BR0-042064-00256	II	II	1	0
BR0-042064-00256	II	II	2	0
BR0-042064-00256	II	II	1	0
BR0-042064-00256	II	II	1	0
BR0-042064-00256	II	II	1	0
BR0-042064-00256	II	II	1	0
BR0-042064-00257	II	II	1	0
BR0-042064-00257	II	II	1	0
BR0-042064-00257	II	II	2	0
BR0-042064-00257	II	II	1	0
BR0-042064-00257	II	II	1	0
BR0-042064-00257	II	III	1	1
BR0-042064-00257	II	II	2	0
BR0-042064-00260	II	II	1	0
BR0-042064-00260	II	II	1	0
BR0-042064-00260	II	II	2	0
BR0-042064-00260	I	II	1	1
BR0-042064-00260	II	II	1	0
BR0-042064-00260	II	II	1	0
BR0-042064-00261	II	II	1	0
BR0-042064-00261	II	II	2	0
BR0-042064-00261	II	II	1	0
BR0-042064-00261	II	II	1	0
BR0-042064-00261	II	II	1	0
BR0-042064-00261	II	II	1	0
BR0-042064-00265	II	II	1	0
BR0-042064-00265	II	II	1	0
BR0-042064-00265	II	II	2	0
BR0-042064-00265	I	II	1	1
BR0-042064-00265	II	II	1	0
BR0-042064-00265	II	II	1	0
BR0-042064-00266	II	II	1	0
BR0-042064-00266	II	II	2	0
BR0-042064-00266	II	II	1	0
BR0-042064-00266	II	II	1	0
BR0-042064-00266	II	II	1	0
BR0-042064-00266	II	II	1	0
BR0-042064-00268	II	II	2	0
BR0-042064-00268	I	II	2	1
BR0-042064-00268	II	II	1	0
BR0-042064-00268	II	II	2	0
BR0-042064-00268	I	I	2	0
BR0-042064-00269	II	II	1	0
BR0-042064-00269	II	II	1	0
BR0-042064-00269	II	II	2	0
BR0-042064-00269	I	II	1	1
BR0-042064-00269	II	II	1	0
BR0-042064-00269	II	II	1	0
BR0-042064-00270	II	II	1	0
BR0-042064-00270	II	II	2	0
BR0-042064-00270	II	II	1	0
BR0-042064-00270	II	II	1	0
BR0-042064-00270	II	II	1	0
BR0-042064-00270	II	II	1	0
BR0-042064-00275	II	II	1	0
BR0-042064-00275	II	II	1	0
BR0-042064-00275	II	II	2	0
BR0-042064-00275	I	II	1	1
BR0-042064-00275	II	II	1	0
BR0-042064-00275	II	II	1	0
BR0-042064-00276	II	II	1	0
BR0-042064-00276	II	II	2	0
BR0-042064-00276	II	II	1	0
BR0-042064-00276	II	II	1	0
BR0-042064-00276	II	II	1	0
BR0-042064-00276	II	II	1	0
BR0-042064-00277	II	II	1	0
BR0-042064-00277	II	II	1	0
BR0-042064-00277	II	II	2	0
BR0-042064-00277	II	II	1	0
BR0-042064-00277	II	II	1	0
BR0-042064-00277	II	III	1	1
BR0-042064-00277	II	II	2	0
BR0-042064-00278	II	II	2	0
BR0-042064-00278	I	II	2	1
BR0-042064-00278	II	II	1	0
BR0-042064-00278	II	II	2	0
BR0-042064-00278	I	I	2	0
BR0-042064-00279	II	II	2	0
BR0-042064-00279	II	II	2	0
BR0-042064-00279	II	II	1	0
BR0-042064-00279	II	II	2	0
BR0-042064-00280	II	II	1	0
BR0-042064-00280	II	II	1	0
BR0-042064-00280	II	II	2	0
BR0-042064-00280	I	II	1	1
BR0-042064-00280	II	II	1	0
BR0-042064-00280	II	II	1	0
BR0-042064-00281	II	II	1	0
BR0-042064-00281	II	II	2	0
BR0-042064-00281	II	II	1	0
BR0-042064-00281	II	II	1	0
BR0-042064-00281	II	II	1	0
BR0-042064-00281	II	II	1	0
BR0-042064-00282	II	II	1	0
BR0-042064-00282	II	II	1	0
BR0-042064-00282	II	II	2	0
BR0-042064-00282	II	II	1	0
BR0-042064-00282	II	II	1	0
BR0-042064-00282	II	III	1	1
BR0-042064-00282	II	II	2	0
BR0-042064-00283	II	II	1	0
BR0-042064-00283	II	II	1	0
BR0-042064-00283	II	II	2	0
BR0-042064-00283	I	II	1	1
BR0-042064-00283	II	II	1	0
BR0-042064-00283	II	II	1	0
BR0-042064-00284	II	II	1	0
BR0-042064-00284	II	II	2	0
BR0-042064-00284	II	II	1	0
BR0-042064-00284	II	II	1	0
BR0-042064-00284	II	II	1	0
BR0-042064-00284	II	II	1	0
BR0-042064-00285	II	II	1	0
BR0-042064-00285	II	II	1	0
BR0-042064-00285	II	II	2	0
BR0-042064-00285	II	II	1	0
BR0-042064-00285	II	II	1	0
BR0-042064-00285	II	III	1	1
BR0-042064-00285	II	II	2	0
BR0-042064-00286	II	II	1	0
BR0-042064-00286	II	II	1	0
BR0-042064-00286	II	II	2	0
BR0-042064-00286	I	II	1	1
BR0-042064-00286	II	II	1	0
BR0-042064-00286	II	II	1	0
BR0-042064-00287	II	II	1	0
BR0-042064-00287	II	II	2	0
BR0-042064-00287	II	II	1	0
BR0-042064-00287	II	II	1	0
BR0-042064-00287	II	II	1	0
BR0-042064-00287	II	II	1	0
BR0-042064-00288	II	II	1	0
BR0-042064-00288	II	II	1	0
BR0-042064-00288	II	II	2	0
BR0-042064-00288	I	II	1	1
BR0-042064-00288	II	II	1	0
BR0-042064-00288	II	II	1	0
BR0-042064-00289	II	II	1	0
BR0-042064-00289	II	II	1	0
BR0-042064-00289	II	II	2	0
BR0-042064-00289	I	II	1	1
BR0-042064-00289	II	II	1	0
BR0-042064-00289	II	II	1	0
BR0-042064-00290	II	II	1	0
BR0-042064-00290	II	II	1	0
BR0-042064-00290	II	II	2	0
BR0-042064-00290	I	II	1	1
BR0-042064-00290	II	II	1	0
BR0-042064-00290	II	II	1	0
BR0-042064-00292	II	II	1	0
BR0-042064-00292	II	II	1	0
BR0-042064-00292	II	II	2	0
BR0-042064-00292	I	II	1	1
BR0-042064-00292	II	II	1	0
BR0-042064-00292	II	II	1	0
BR0-042064-00293	II	II	1	0
BR0-042064-00293	II	II	1	0
BR0-042064-00293	II	II	2	0
BR0-042064-00293	I	II	1	1
BR0-042064-00293	II	II	1	0
BR0-042064-00293	II	II	1	0
BR0-042064-00294	II	II	1	0
BR0-042064-00294	II	II	1	0
BR0-042064-00294	II	II	2	0
BR0-042064-00294	I	II	1	1
BR0-042064-00294	II	II	1	0
BR0-042064-00294	II	II	1	0
BR0-042064-00295	II	II	1	0
BR0-042064-00295	II	II	1	0
BR0-042064-00295	II	II	2	0
BR0-042064-00295	I	II	1	1
BR0-042064-00295	II	II	1	0
BR0-042064-00295	II	II	1	0
BR0-042064-00297	II	II	1	0
BR0-042064-00297	II	II	1	0
BR0-042064-00297	II	II	2	0
BR0-042064-00297	I	II	1	1
BR0-042064-00297	II	II	1	0
BR0-042064-00297	II	II	1	0
BR0-042064-00298	II	II	1	0
