シナリオ,L値,データ点数,平均絶対誤差,最大絶対誤差,平均相対誤差(%),最大相対誤差(%),二乗平均平方根誤差(RMSE)
l=1,1,323,0.025574463573707733,0.05457307590612803,1.2887889207030876,1.7382902361594252,0.029537688475582254
l=3,3,323,0.009139909160814488,0.017868728135016054,0.9809034182812285,1.689952663233337,0.009987203832053015
l=5,5,323,0.005193459240698572,0.00813270577655989,0.7461347125315861,1.6889949858945514,0.0053839254498618165
l=7,7,323,0.004029117006692288,0.007442891554408249,0.6522255513328017,1.6889949562599678,0.004549623396310513
l=10,10,323,0.004343597251839581,0.007471152386859248,0.6880597585493837,1.6889949562599678,0.004797338041989852
